,Team,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,Arena,Attend.,Attend./G,Year
751,Phoenix Suns,55,27,54,28,5.05,0.09,5.14,113.3,108.1,5.2,96.7,0.292,0.26,0.59,0.551,13.4,22.4,0.228,US Airways Center,755302.0,18422.0,2008
752,Dallas Mavericks,51,31,54,28,4.54,0.16,4.7,111.1,106.1,5.0,90.2,0.318,0.215,0.554,0.502,12.3,26.7,0.259,American Airlines Center,831738.0,20286.0,2008
753,Denver Nuggets,50,32,51,31,3.71,0.03,3.74,110.0,106.3,3.7,99.7,0.358,0.228,0.557,0.51,12.9,25.5,0.269,Pepsi Center,711962.0,17365.0,2008
754,Toronto Raptors,41,41,49,33,2.9,-0.44,2.47,110.2,107.0,3.2,90.2,0.247,0.217,0.551,0.511,11.4,23.4,0.2,Air Canada Centre,796835.0,19435.0,2008
755,Golden State Warriors,48,34,47,35,2.21,0.17,2.38,111.8,109.5,2.3,98.8,0.276,0.295,0.548,0.511,11.5,27.2,0.208,Oracle Arena,804864.0,19631.0,2008
756,Philadelphia 76ers,40,42,42,40,0.41,-0.23,0.19,106.4,106.0,0.4,90.4,0.321,0.143,0.522,0.482,13.4,31.8,0.227,Wachovia Center,609675.0,14870.0,2008
757,Washington Wizards,43,39,40,42,-0.33,-0.28,-0.61,109.2,109.6,-0.4,89.5,0.297,0.241,0.535,0.489,12.5,28.9,0.233,Verizon Center,736461.0,17962.0,2008
758,Cleveland Cavaliers,45,37,40,42,-0.35,-0.17,-0.53,106.0,106.4,-0.4,90.2,0.308,0.231,0.52,0.48,13.1,30.4,0.221,Quicken Loans Arena,839074.0,20465.0,2008
759,Portland Trail Blazers,41,41,38,44,-0.98,0.45,-0.52,107.3,108.4,-1.1,87.9,0.281,0.218,0.532,0.489,12.6,26.8,0.216,Rose Garden Arena,801566.0,19550.0,2008
760,Indiana Pacers,36,46,37,45,-1.4,-0.46,-1.87,106.0,107.5,-1.5,97.7,0.292,0.289,0.54,0.498,13.5,24.4,0.224,Conseco Fieldhouse,501092.0,12222.0,2008
761,Atlanta Hawks,37,45,36,46,-1.82,-0.41,-2.23,106.9,108.9,-2.0,91.1,0.34,0.165,0.535,0.483,14.0,29.7,0.263,Philips Arena,667518.0,16281.0,2008
762,Sacramento Kings,38,44,35,47,-2.26,0.4,-1.86,107.5,109.9,-2.4,94.7,0.346,0.208,0.556,0.503,14.8,25.2,0.276,ARCO Arena (II),580181.0,14151.0,2008
763,Chicago Bulls,33,49,32,50,-3.09,-0.11,-3.19,103.9,107.2,-3.3,93.0,0.296,0.19,0.515,0.47,13.4,28.9,0.223,United Center,901502.0,21988.0,2008
764,Charlotte Bobcats,32,50,29,53,-4.38,-0.11,-4.49,104.6,109.4,-4.8,91.8,0.323,0.22,0.532,0.492,13.9,25.6,0.23,Charlotte Bobcats Arena,603403.0,14717.0,2008
765,New Jersey Nets,34,48,27,55,-5.06,-0.09,-5.15,104.0,109.4,-5.4,91.5,0.347,0.222,0.528,0.481,14.2,26.6,0.255,Izod Center,641921.0,15657.0,2008
766,Memphis Grizzlies,22,60,25,57,-6.21,0.45,-5.76,105.0,111.4,-6.4,95.3,0.311,0.264,0.539,0.5,14.0,23.8,0.225,FedEx Forum,523578.0,12770.0,2008
767,New York Knicks,23,59,23,59,-6.61,0.06,-6.55,104.7,111.9,-7.2,91.6,0.31,0.215,0.518,0.475,13.4,28.6,0.226,Madison Square Garden (IV),783739.0,19116.0,2008
768,Minnesota Timberwolves,22,60,23,59,-6.78,0.52,-6.26,103.8,111.2,-7.4,91.9,0.248,0.185,0.518,0.484,13.6,27.5,0.183,Target Center,593537.0,14477.0,2008
769,Milwaukee Bucks,26,56,23,59,-6.89,-0.03,-6.92,105.3,112.8,-7.5,91.3,0.294,0.195,0.522,0.482,13.7,30.0,0.215,Bradley Center,639421.0,15596.0,2008
770,Los Angeles Clippers,23,59,21,61,-7.27,0.71,-6.56,101.2,109.1,-7.9,92.1,0.338,0.167,0.519,0.465,13.7,23.1,0.264,STAPLES Center,692408.0,16888.0,2008
771,Seattle SuperSonics,20,62,19,63,-8.76,0.72,-8.04,100.5,109.5,-9.0,96.3,0.265,0.134,0.509,0.467,14.3,26.8,0.204,KeyArena at Seattle Center,547556.0,13355.0,2008
772,Miami Heat,15,67,18,64,-8.65,0.11,-8.53,100.5,110.0,-9.5,90.2,0.3,0.217,0.522,0.482,14.4,22.1,0.218,AmericanAirlines Arena,798004.0,19464.0,2008
773,Cleveland Cavaliers,66,16,65,17,8.93,-0.25,8.68,112.4,102.4,10.0,88.7,0.312,0.259,0.56,0.519,12.5,27.7,0.236,Quicken Loans Arena,841000.0,20512.0,2009
774,Boston Celtics,62,20,61,21,7.51,-0.07,7.44,110.5,102.3,8.2,90.4,0.328,0.214,0.571,0.528,15.0,27.9,0.251,TD Banknorth Garden,763584.0,18624.0,2009
775,Los Angeles Lakers,65,17,61,21,7.66,-0.55,7.11,112.8,104.7,8.1,94.3,0.299,0.217,0.555,0.513,12.3,29.4,0.23,STAPLES Center,778877.0,18997.0,2009
776,Orlando Magic,59,23,59,23,6.7,-0.21,6.48,109.2,101.9,7.3,92.3,0.351,0.335,0.559,0.52,13.4,24.0,0.251,Amway Arena,698768.0,17043.0,2009
777,Portland Trail Blazers,54,28,56,26,5.34,-0.35,5.0,113.9,107.8,6.1,86.6,0.306,0.239,0.553,0.511,12.5,32.6,0.234,Rose Garden Arena,841499.0,20524.0,2009
778,Houston Rockets,53,29,53,29,4.0,-0.27,3.73,108.4,104.0,4.4,90.2,0.292,0.254,0.548,0.501,13.6,26.4,0.235,Toyota Center,717669.0,17504.0,2009
779,San Antonio Spurs,54,28,52,30,3.76,-0.4,3.36,108.5,104.3,4.2,88.4,0.251,0.248,0.548,0.513,11.7,22.1,0.191,AT&T Center,749048.0,18269.0,2009
780,Denver Nuggets,54,28,50,32,3.41,-0.29,3.13,110.4,106.8,3.6,94.3,0.382,0.227,0.563,0.512,14.2,27.5,0.29,Pepsi Center,706165.0,17224.0,2009
781,Utah Jazz,48,34,48,34,2.65,-0.34,2.31,110.1,107.3,2.8,93.1,0.355,0.169,0.554,0.504,13.6,28.2,0.274,EnergySolutions Arena,816042.0,19903.0,2009
782,Dallas Mavericks,50,32,47,35,1.98,-0.3,1.68,110.5,108.4,2.1,91.5,0.274,0.241,0.55,0.504,12.1,26.6,0.224,American Airlines Center,821723.0,20042.0,2009
783,Phoenix Suns,46,36,46,36,1.93,-0.31,1.62,113.6,111.6,2.0,96.0,0.336,0.216,0.584,0.545,14.4,27.7,0.25,US Airways Center,755302.0,18422.0,2009
784,Atlanta Hawks,47,35,46,36,1.57,0.13,1.7,109.3,107.6,1.7,89.6,0.323,0.253,0.546,0.504,12.5,26.0,0.238,Philips Arena,686688.0,16748.0,2009
785,New Orleans Hornets,49,33,46,36,1.55,-0.14,1.41,108.7,107.0,1.7,87.8,0.288,0.24,0.548,0.501,12.5,24.6,0.232,New Orleans Arena,695727.0,16969.0,2009
786,Miami Heat,43,39,42,40,0.26,0.23,0.49,107.8,107.6,0.2,89.9,0.282,0.245,0.54,0.5,12.1,24.6,0.212,AmericanAirlines Arena,748778.0,18263.0,2009
787,Philadelphia 76ers,41,41,41,41,0.07,0.09,0.16,107.9,107.8,0.1,90.0,0.339,0.164,0.532,0.485,13.4,31.3,0.253,Wachovia Center,647898.0,15802.0,2009
788,Chicago Bulls,41,41,40,42,-0.28,0.12,-0.16,108.4,108.7,-0.3,93.1,0.3,0.189,0.541,0.493,13.3,28.0,0.239,United Center,868667.0,21187.0,2009
789,Detroit Pistons,39,43,40,42,-0.49,0.13,-0.36,107.4,108.0,-0.6,86.7,0.282,0.165,0.524,0.483,11.7,27.9,0.212,The Palace of Auburn Hills,896971.0,21877.0,2009
790,Indiana Pacers,36,46,38,44,-1.11,0.35,-0.76,108.1,109.2,-1.1,96.5,0.267,0.244,0.545,0.501,13.1,25.4,0.215,Conseco Fieldhouse,581472.0,14182.0,2009
791,Milwaukee Bucks,34,48,38,44,-1.09,0.21,-0.88,106.7,107.9,-1.2,92.6,0.306,0.208,0.531,0.483,13.1,27.8,0.239,Bradley Center,630976.0,15390.0,2009
792,Charlotte Bobcats,35,47,37,45,-1.27,0.07,-1.2,104.7,106.1,-1.4,88.3,0.312,0.213,0.536,0.494,15.1,27.7,0.231,Time Warner Cable Arena,597548.0,14574.0,2009
793,New York Knicks,32,50,34,48,-2.61,0.28,-2.33,108.1,110.8,-2.7,96.7,0.268,0.322,0.544,0.503,12.9,24.4,0.21,Madison Square Garden (IV),790801.0,19288.0,2009
794,New Jersey Nets,34,48,34,48,-2.44,0.13,-2.31,108.3,111.0,-2.7,89.9,0.303,0.265,0.543,0.497,12.7,25.2,0.236,Izod Center,621062.0,15148.0,2009
795,Toronto Raptors,33,49,33,49,-2.82,0.28,-2.54,107.0,110.0,-3.0,92.0,0.279,0.193,0.542,0.494,12.8,24.0,0.23,Air Canada Centre,769707.0,18773.0,2009
796,Golden State Warriors,29,53,31,51,-3.74,-0.06,-3.8,109.5,113.3,-3.8,98.2,0.339,0.209,0.549,0.497,12.9,26.1,0.268,Oracle Arena,776660.0,18943.0,2009
797,Minnesota Timberwolves,24,58,27,55,-4.91,0.18,-4.74,106.1,111.4,-5.3,91.6,0.289,0.227,0.526,0.481,13.3,27.7,0.222,Target Center,595013.0,14513.0,2009
798,Memphis Grizzlies,24,58,26,56,-5.46,0.24,-5.23,103.5,109.5,-6.0,90.1,0.329,0.175,0.533,0.486,14.8,25.8,0.249,FedEx Forum,519895.0,12680.0,2009
799,Oklahoma City Thunder,23,59,24,58,-6.1,0.06,-6.04,102.9,109.4,-6.5,93.6,0.308,0.141,0.521,0.471,14.8,28.6,0.242,Ford Center,766868.0,18704.0,2009
800,Washington Wizards,19,63,21,61,-7.46,0.48,-6.98,105.4,113.6,-8.2,91.0,0.293,0.18,0.524,0.48,13.2,27.7,0.224,Verizon Center,681119.0,16613.0,2009
801,Sacramento Kings,17,65,19,63,-8.76,0.16,-8.6,105.5,114.7,-9.2,94.2,0.315,0.238,0.542,0.491,14.3,24.5,0.252,ARCO Arena (II),520169.0,12687.0,2009
802,Los Angeles Clippers,19,63,18,64,-8.77,0.3,-8.47,102.3,111.7,-9.4,92.1,0.275,0.226,0.52,0.481,14.0,25.1,0.202,STAPLES Center,663587.0,16185.0,2009
803,Orlando Magic,59,23,61,21,7.49,-0.37,7.12,111.4,103.3,8.1,92.0,0.34,0.35,0.573,0.536,13.6,24.6,0.246,Amway Arena,715901.0,17461.0,2010
804,Cleveland Cavaliers,61,21,59,23,6.52,-0.36,6.17,111.2,104.1,7.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,Quicken Loans Arena,843042.0,20562.0,2010
805,Utah Jazz,53,29,55,27,5.34,-0.01,5.33,110.7,105.0,5.7,93.8,0.34,0.184,0.565,0.524,14.2,26.8,0.252,EnergySolutions Arena,794512.0,19378.0,2010
806,San Antonio Spurs,50,32,55,27,5.09,-0.02,5.07,110.0,104.5,5.5,91.7,0.296,0.232,0.552,0.515,12.9,26.8,0.219,AT&T Center,741676.0,18090.0,2010
807,Atlanta Hawks,53,29,54,28,4.66,-0.22,4.44,111.9,106.7,5.2,90.1,0.281,0.214,0.545,0.506,11.4,28.2,0.213,Philips Arena,678375.0,16546.0,2010
808,Phoenix Suns,54,28,54,28,4.9,-0.23,4.67,115.3,110.2,5.1,95.3,0.312,0.261,0.585,0.546,13.6,27.6,0.24,US Airways Center,723582.0,17648.0,2010
809,Los Angeles Lakers,57,25,54,28,4.72,0.06,4.78,108.8,103.7,5.1,92.8,0.289,0.227,0.538,0.496,12.4,27.6,0.221,STAPLES Center,778877.0,18997.0,2010
810,Denver Nuggets,53,29,52,30,4.09,0.06,4.15,111.8,107.5,4.3,94.8,0.376,0.227,0.561,0.509,12.7,26.1,0.29,Pepsi Center,737301.0,17983.0,2010
811,Boston Celtics,50,32,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.332,0.228,0.564,0.522,14.5,22.8,0.248,TD Garden,763584.0,18624.0,2010
812,Portland Trail Blazers,50,32,51,31,3.3,-0.13,3.18,110.8,107.1,3.7,87.7,0.315,0.215,0.547,0.499,12.1,28.2,0.249,Rose Garden Arena,840371.0,20497.0,2010
813,Oklahoma City Thunder,50,32,51,31,3.49,0.06,3.55,108.3,104.6,3.7,93.1,0.333,0.185,0.547,0.494,13.9,28.6,0.268,Oklahoma City Arena,738149.0,18004.0,2010
814,Dallas Mavericks,55,27,49,33,2.72,-0.06,2.66,109.2,106.3,2.9,92.5,0.277,0.222,0.552,0.506,12.3,24.3,0.226,American Airlines Center,819770.0,19994.0,2010
815,Miami Heat,47,35,48,34,2.28,-0.29,1.99,106.6,104.1,2.5,89.6,0.296,0.219,0.537,0.496,12.8,26.1,0.223,AmericanAirlines Arena,726935.0,17730.0,2010
816,Milwaukee Bucks,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,1.8,91.7,0.239,0.259,0.518,0.482,12.3,26.2,0.181,Bradley Center,619453.0,15109.0,2010
817,Charlotte Bobcats,44,38,45,37,1.46,-0.17,1.3,104.4,102.8,1.6,90.4,0.346,0.211,0.538,0.49,15.1,26.5,0.26,Time Warner Cable Arena,648520.0,15818.0,2010
818,Houston Rockets,42,40,40,42,-0.37,0.35,-0.02,107.6,108.0,-0.4,94.0,0.292,0.265,0.537,0.494,13.2,26.9,0.225,Toyota Center,677658.0,16528.0,2010
819,Memphis Grizzlies,40,42,37,45,-1.51,0.13,-1.39,108.3,109.9,-1.6,93.6,0.32,0.148,0.536,0.494,13.7,31.3,0.235,FedEx Forum,552914.0,13486.0,2010
820,Chicago Bulls,41,41,36,46,-1.63,0.0,-1.64,103.5,105.3,-1.8,93.1,0.287,0.156,0.52,0.477,13.3,26.6,0.217,United Center,849760.0,20726.0,2010
821,Toronto Raptors,40,42,36,46,-1.78,-0.05,-1.83,111.3,113.2,-1.9,93.1,0.319,0.211,0.564,0.521,12.7,24.7,0.244,Air Canada Centre,733784.0,17897.0,2010
822,New Orleans Hornets,37,45,34,48,-2.46,0.19,-2.27,107.4,110.1,-2.7,92.6,0.243,0.23,0.543,0.506,12.7,24.8,0.189,New Orleans Arena,617366.0,15058.0,2010
823,Indiana Pacers,32,50,33,49,-3.01,-0.1,-3.11,103.7,106.8,-3.1,97.1,0.296,0.278,0.536,0.491,13.8,21.6,0.229,Conseco Fieldhouse,582295.0,14202.0,2010
824,Golden State Warriors,26,56,32,50,-3.6,0.32,-3.28,108.1,111.7,-3.6,100.4,0.294,0.238,0.557,0.514,13.1,20.9,0.23,Oracle Arena,739120.0,18027.0,2010
825,New York Knicks,29,53,31,51,-3.82,-0.19,-4.01,107.6,111.6,-4.0,94.0,0.256,0.312,0.547,0.509,13.0,23.5,0.2,Madison Square Garden (IV),799550.0,19501.0,2010
826,Philadelphia 76ers,27,55,30,52,-3.9,-0.03,-3.93,106.1,110.3,-4.2,91.6,0.27,0.206,0.534,0.496,13.7,27.6,0.204,Wachovia Center,583219.0,14225.0,2010
827,Sacramento Kings,25,57,29,53,-4.37,0.3,-4.06,105.3,109.9,-4.6,94.0,0.286,0.201,0.528,0.491,13.6,27.8,0.207,Power Balance Pavilion,543416.0,13254.0,2010
828,Washington Wizards,26,56,28,54,-4.78,0.06,-4.72,104.2,109.4,-5.2,91.6,0.283,0.183,0.524,0.481,13.9,27.6,0.216,Verizon Center,664398.0,16205.0,2010
829,Detroit Pistons,27,55,26,56,-5.11,0.09,-5.02,105.6,111.4,-5.8,88.5,0.303,0.18,0.515,0.474,12.8,30.3,0.22,The Palace of Auburn Hills,768826.0,18752.0,2010
830,Los Angeles Clippers,29,53,24,58,-6.35,0.34,-6.01,103.3,110.1,-6.8,92.6,0.283,0.221,0.529,0.491,14.8,27.1,0.206,STAPLES Center,670063.0,16343.0,2010
831,Minnesota Timberwolves,15,67,17,65,-9.6,0.54,-9.06,101.7,111.6,-9.9,96.1,0.278,0.171,0.518,0.478,14.6,26.7,0.207,Target Center,619170.0,15102.0,2010
832,New Jersey Nets,12,70,17,65,-9.12,0.19,-8.93,100.6,110.5,-9.9,91.4,0.307,0.181,0.509,0.458,13.7,25.1,0.24,Izod Center,537230.0,13103.0,2010
833,Miami Heat,58,24,61,21,7.46,-0.71,6.76,111.7,103.5,8.2,90.9,0.363,0.235,0.573,0.524,13.5,25.2,0.279,AmericanAirlines Arena,810930.0,19779.0,2011
834,Chicago Bulls,62,20,61,21,7.32,-0.79,6.53,108.3,100.3,8.0,90.4,0.305,0.215,0.541,0.501,13.5,29.4,0.227,United Center,893462.0,21792.0,2011
835,Los Angeles Lakers,57,25,58,24,6.11,-0.1,6.01,111.0,104.3,6.7,90.7,0.293,0.22,0.545,0.502,12.3,29.2,0.228,STAPLES Center,778877.0,18997.0,2011
836,San Antonio Spurs,61,21,56,26,5.71,0.16,5.86,111.8,105.6,6.2,92.3,0.299,0.261,0.567,0.527,12.8,24.9,0.229,AT&T Center,750879.0,18314.0,2011
837,Boston Celtics,56,26,57,25,5.37,-0.54,4.83,106.2,100.3,5.9,90.4,0.305,0.18,0.561,0.519,14.5,21.1,0.235,TD Garden,763584.0,18624.0,2011
838,Orlando Magic,52,30,56,26,5.46,-0.54,4.92,107.9,102.0,5.9,91.2,0.328,0.328,0.554,0.521,14.3,26.1,0.227,Amway Center,777852.0,18972.0,2011
839,Denver Nuggets,50,32,54,28,4.76,0.05,4.81,112.3,107.3,5.0,95.6,0.367,0.258,0.574,0.526,13.1,23.9,0.281,Pepsi Center,696568.0,16989.0,2011
840,Dallas Mavericks,57,25,53,29,4.23,0.18,4.41,109.7,105.0,4.7,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,American Airlines Center,824162.0,20102.0,2011
841,Oklahoma City Thunder,55,27,51,31,3.79,0.02,3.81,111.2,107.2,4.0,92.7,0.363,0.212,0.561,0.501,13.1,27.4,0.299,Chesapeake Energy Arena,744068.0,18148.0,2011
842,Memphis Grizzlies,46,36,48,34,2.34,0.2,2.55,107.6,105.1,2.5,91.9,0.291,0.136,0.534,0.493,13.0,28.9,0.218,FedEx Forum,600687.0,14651.0,2011
843,Houston Rockets,43,39,47,35,2.18,0.19,2.37,111.3,109.0,2.3,94.2,0.299,0.264,0.55,0.503,12.3,27.4,0.239,Toyota Center,663839.0,16191.0,2011
844,Portland Trail Blazers,48,34,46,36,1.52,0.32,1.85,108.8,107.1,1.7,87.9,0.278,0.228,0.533,0.486,12.6,29.5,0.224,Rose Garden Arena,840924.0,20510.0,2011
845,Philadelphia 76ers,41,41,45,37,1.5,-0.5,1.01,106.6,105.0,1.6,91.7,0.273,0.184,0.535,0.494,12.3,24.6,0.21,Wells Fargo Center,604823.0,14752.0,2011
846,New Orleans Hornets,46,36,44,38,0.89,0.39,1.28,106.2,105.2,1.0,88.7,0.296,0.192,0.537,0.493,12.8,25.1,0.226,New Orleans Arena,603088.0,14709.0,2011
847,New York Knicks,42,40,43,39,0.78,-0.3,0.48,110.9,110.1,0.8,95.6,0.304,0.303,0.561,0.513,12.6,24.2,0.246,Madison Square Garden (IV),808879.0,19729.0,2011
848,Milwaukee Bucks,35,47,38,44,-0.84,-0.17,-1.02,101.6,102.5,-0.9,89.8,0.287,0.216,0.511,0.467,13.0,24.7,0.217,Bradley Center,631912.0,15412.0,2011
849,Phoenix Suns,40,42,39,43,-0.89,0.43,-0.46,109.5,110.4,-0.9,94.4,0.283,0.271,0.559,0.522,13.2,23.7,0.215,US Airways Center,720249.0,17567.0,2011
850,Atlanta Hawks,44,38,39,43,-0.82,-0.28,-1.1,106.1,107.0,-0.9,89.3,0.269,0.222,0.542,0.501,13.5,23.4,0.209,Philips Arena,641596.0,15649.0,2011
851,Indiana Pacers,37,45,38,44,-1.07,-0.3,-1.38,104.8,106.0,-1.2,94.7,0.3,0.244,0.533,0.486,14.1,25.9,0.235,Conseco Fieldhouse,555077.0,13538.0,2011
852,Utah Jazz,39,43,36,46,-1.83,0.39,-1.44,108.1,110.1,-2.0,91.0,0.313,0.191,0.544,0.498,13.5,27.0,0.241,EnergySolutions Arena,799982.0,19512.0,2011
853,Golden State Warriors,36,46,35,47,-2.33,0.33,-2.0,108.2,110.7,-2.5,94.8,0.241,0.248,0.544,0.51,13.3,26.7,0.183,Oracle Arena,766398.0,18693.0,2011
854,Los Angeles Clippers,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,-3.4,92.8,0.332,0.23,0.535,0.496,15.1,28.4,0.234,STAPLES Center,727462.0,17743.0,2011
855,Detroit Pistons,30,52,31,51,-3.6,-0.18,-3.78,107.7,111.7,-4.0,89.2,0.279,0.189,0.533,0.495,12.5,27.4,0.206,The Palace of Auburn Hills,683080.0,16660.0,2011
856,Charlotte Bobcats,34,48,29,53,-4.0,-0.08,-4.08,103.4,107.8,-4.4,89.6,0.314,0.189,0.528,0.482,14.1,25.7,0.237,Time Warner Cable Arena,649694.0,15846.0,2011
857,Sacramento Kings,24,58,27,55,-5.34,0.54,-4.8,103.5,109.0,-5.5,95.2,0.284,0.183,0.519,0.48,14.4,29.9,0.208,Power Balance Pavilion,569496.0,13890.0,2011
858,New Jersey Nets,24,58,24,58,-6.24,-0.04,-6.28,103.1,109.9,-6.8,89.9,0.283,0.201,0.517,0.474,13.4,26.1,0.215,Prudential Center,581378.0,13949.0,2011
859,Toronto Raptors,22,60,24,58,-6.28,0.01,-6.28,106.1,112.9,-6.8,92.9,0.293,0.162,0.533,0.491,13.7,28.2,0.221,Air Canada Centre,680255.0,16592.0,2011
860,Minnesota Timberwolves,17,65,24,58,-6.63,0.67,-5.97,104.2,111.1,-6.9,96.5,0.282,0.223,0.526,0.483,15.1,29.6,0.217,Target Center,624960.0,15243.0,2011
861,Washington Wizards,23,59,22,60,-7.4,0.11,-7.3,102.4,110.2,-7.8,93.8,0.29,0.172,0.513,0.471,13.9,28.0,0.216,Verizon Center,688466.0,16792.0,2011
862,Cleveland Cavaliers,19,63,18,64,-9.01,0.14,-8.88,102.2,111.8,-9.6,93.0,0.312,0.224,0.518,0.472,13.4,24.2,0.233,Quicken Loans Arena,824595.0,20112.0,2011
863,Chicago Bulls,50,16,51,15,8.18,-0.76,7.43,107.4,98.3,9.1,89.1,0.255,0.205,0.523,0.49,13.2,32.6,0.184,United Center,731326.0,22161.0,2012
864,San Antonio Spurs,50,16,48,18,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.261,0.257,0.562,0.528,12.8,25.1,0.195,AT&T Center,607095.0,18397.0,2012
865,Oklahoma City Thunder,47,19,46,20,6.12,0.32,6.44,109.8,103.2,6.6,93.0,0.334,0.252,0.567,0.516,15.3,27.8,0.269,Chesapeake Energy Arena,600699.0,18203.0,2012
866,Miami Heat,46,20,47,19,5.98,-0.27,5.72,106.6,100.2,6.4,91.2,0.307,0.198,0.549,0.505,14.5,26.6,0.238,AmericanAirlines Arena,657855.0,19935.0,2012
867,Philadelphia 76ers,35,31,43,23,4.24,-0.65,3.59,103.9,99.2,4.7,89.7,0.217,0.175,0.511,0.48,10.9,24.4,0.161,Wells Fargo Center,577597.0,17503.0,2012
868,Atlanta Hawks,40,26,41,25,3.44,-0.77,2.67,104.9,101.2,3.7,90.2,0.259,0.249,0.535,0.5,13.4,23.9,0.192,Philips Arena,501593.0,15200.0,2012
869,Indiana Pacers,42,24,41,25,3.3,-0.71,2.6,106.7,103.1,3.6,90.7,0.321,0.198,0.526,0.474,13.1,29.2,0.251,Bankers Life Fieldhouse,467561.0,14169.0,2012
870,New York Knicks,36,30,41,25,3.2,-0.81,2.39,104.4,101.0,3.4,93.2,0.306,0.288,0.533,0.492,14.9,26.6,0.227,Madison Square Garden (IV),652179.0,19763.0,2012
871,Denver Nuggets,38,28,39,27,2.88,0.29,3.16,109.2,106.2,3.0,94.2,0.326,0.243,0.556,0.516,14.1,27.7,0.239,Pepsi Center,561966.0,17029.0,2012
872,Boston Celtics,39,27,39,27,2.52,-0.26,2.26,101.0,98.2,2.8,90.4,0.257,0.194,0.535,0.496,14.7,19.7,0.2,TD Garden,614592.0,18624.0,2012
873,Los Angeles Clippers,40,26,39,27,2.56,0.26,2.82,108.5,105.7,2.8,89.2,0.287,0.269,0.533,0.502,12.7,29.5,0.195,STAPLES Center,634237.0,19219.0,2012
874,Memphis Grizzlies,41,25,38,28,2.02,0.42,2.43,104.0,101.8,2.2,90.8,0.277,0.157,0.515,0.473,13.6,29.8,0.211,FedEx Forum,518446.0,15710.0,2012
875,Los Angeles Lakers,41,25,36,30,1.42,0.54,1.96,106.0,104.4,1.6,90.5,0.299,0.209,0.534,0.491,14.2,29.1,0.226,STAPLES Center,626901.0,18997.0,2012
876,Dallas Mavericks,36,30,35,31,0.95,0.83,1.78,103.3,102.3,1.0,91.4,0.246,0.271,0.527,0.489,13.4,23.4,0.19,American Airlines Center,671050.0,20335.0,2012
877,Orlando Magic,37,29,35,31,0.79,-0.33,0.46,105.0,104.1,0.9,89.0,0.292,0.346,0.533,0.506,14.5,26.5,0.193,Amway Center,623587.0,18897.0,2012
878,Utah Jazz,36,30,34,32,0.62,0.3,0.92,106.8,106.1,0.7,91.4,0.302,0.153,0.525,0.481,13.0,30.2,0.227,EnergySolutions Arena,637124.0,19307.0,2012
879,Milwaukee Bucks,31,35,34,32,0.27,-0.5,-0.23,105.5,105.2,0.3,93.7,0.25,0.224,0.521,0.481,12.9,27.7,0.194,Bradley Center,485717.0,14719.0,2012
880,Houston Rockets,34,32,34,32,0.23,0.35,0.57,105.5,105.2,0.3,91.7,0.235,0.24,0.529,0.492,13.5,27.5,0.184,Toyota Center,506994.0,15363.0,2012
881,Phoenix Suns,33,33,32,34,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,0.257,0.238,0.536,0.499,13.3,25.8,0.194,US Airways Center,514718.0,15598.0,2012
882,Portland Trail Blazers,28,38,32,34,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,0.263,0.255,0.531,0.488,13.4,26.3,0.209,Rose Garden Arena,676384.0,20496.0,2012
883,Minnesota Timberwolves,26,40,28,38,-2.2,0.37,-1.83,104.3,106.6,-2.3,93.3,0.306,0.262,0.524,0.477,14.0,27.5,0.236,Target Center,577197.0,17491.0,2012
884,Golden State Warriors,23,43,25,41,-3.41,0.62,-2.79,105.4,109.1,-3.7,92.3,0.227,0.248,0.539,0.505,13.3,22.9,0.175,Oracle Arena,622311.0,18858.0,2012
885,Toronto Raptors,23,43,25,41,-3.3,-0.36,-3.67,100.8,104.5,-3.7,89.3,0.274,0.209,0.518,0.475,14.8,25.9,0.211,Air Canada Centre,555584.0,16836.0,2012
886,New Orleans Hornets,21,45,24,42,-3.76,0.65,-3.11,100.9,105.1,-4.2,88.3,0.274,0.152,0.517,0.476,15.2,27.5,0.207,New Orleans Arena,498618.0,15110.0,2012
887,Washington Wizards,20,46,22,44,-4.8,-0.34,-5.14,101.0,106.2,-5.2,92.5,0.253,0.196,0.508,0.472,14.2,27.3,0.184,Verizon Center,552038.0,16728.0,2012
888,Detroit Pistons,25,41,22,44,-4.79,-0.4,-5.19,101.0,106.3,-5.3,89.2,0.279,0.175,0.51,0.468,15.0,28.1,0.21,The Palace of Auburn Hills,475638.0,14413.0,2012
889,Sacramento Kings,22,44,21,45,-5.68,0.73,-4.95,103.8,109.8,-6.0,94.7,0.268,0.228,0.51,0.472,13.0,29.1,0.197,Power Balance Pavilion,478764.0,14508.0,2012
890,New Jersey Nets,22,44,19,47,-5.98,-0.39,-6.37,102.9,109.6,-6.7,90.1,0.269,0.278,0.516,0.473,14.3,27.8,0.209,Prudential Center,460719.0,13961.0,2012
